"","Compound","ttest_cat","ssmd_cat"
"610","Thymol 100 g                                                                         ",5,5
"611","Tiamulin fumarate 100 mg",5,5
"612","Ticarcillin disodium 1 g",9,9
"613","Tigecycline 50 mg",5,5
"614","Tilmicosin 100 mg",9,9
"615","Tinidazole 50 mg",5,8
"616","Tioconazole  1 g",9,9
"617","Tobramycin 100 mg",9,9
"618","Tolfenamic acid  5 g",9,9
"619","Tolmetin 1 g",5,6
"620","Tomatidine hydrochloride 100 mg",9,9
"621","Topiramate 10 mg",5,5
"622","Tosufloxacin tosylate 250 mg",9,9
"623","Totarol 100 mg",9,9
"624","Toyocamycin 10 mg",9,9
"625","trans-4-Hydroxycinnamic acid 25 g",5,5
"626","trans-Cinnamaldehyde                                                                     1.048 g/mL",5,5
"627","Triamcinolone acetonide  50 mg",5,5
"628","Triclabendazole 100 mg",9,9
"629","Trifluoperazine hydrochloride 5 g",5,5
"630","Trifluperidol HCl 25 mg",5,4
"631","Trimethoprim 5 g",9,9
"632","Trimetrexate 10 mg",6,9
"633","Trovafloxacin mesylate 10 mg                                                    ",9,9
"634","Tubercidin 10 mg",9,9
"635","Tunicamycin from a Stretomyces species 10 mg",9,9
"636","Tylosin tartrate 1 g",9,9
"637","Tyrothricin 1 g",9,9
"638","Ursocholanic acid 1 g",5,5
"639","Usnic acid 5 g",5,5
"640","Validamycin A 1g",9,9
"641","Valinomycin 100 mg                                          ",9,9
"642","Valnemulin HCl",9,9
"643","Valproic acid sodium salt 10 g",5,5
"644","Vancomycin 1 g                                                  ",9,9
"645","Viomycin sulfate 200 mg",9,9
"646","Virginiamycin Complex 5 mg ",9,9
"647","Viridicatin 2 mg",5,5
"648","Vitamin K1 1 g                                                           d=0.984",9,9
"649","Voriconazole 100 mg",5,5
"650","Ytterbium (III) ionophore I 25 mg",9,9
"651","Zeocin 250 mg                                                                          ",9,9
"652","Ziprasidone 5 mg",8,8
